name,surname,serialNumber,address,town,province,cap,email
Guido,Balbi,2072,"Via F.Liardo, 139/b",Fossalta di Piave,VE,30020,g.balbi@tiscali.it
Eligio,Menicucci,2098,"Via A.Gramsci, 70",Albano di Lucania,PZ,85010,eligio.menicucci@lycos.it
Galileo,Caviglione,2174,"Via P.Airoldi, 19",Finale Emilia,MO,41034,galileo.caviglione@katamail.it
Riccardo,Grilletti,2253,"Via G.Codara, 289",Rovagnate,CO,22050,r.grilletti@aruba.it
Cesare,Travaglio,2589,"Via G.Sercognani, 188",Mozzo,BG,24035,cesa.trav@katamail.it
Aleandro,Ravanelli,2669,"Via A.Catena, 210",Santa Ninfa,TP,91029,aleandro.ravanelli@virgilio.it
Gesualdo,Cappello,2844,"Via A.Poliziano, 8",Meta,NA,80062,gesu.capp@gmail.com
Modesto,Vairo,2854,"Via Olgettina, 27",Lettopalena,CH,66010,modesto.vairo@gmail.com
Bartolomeo,Galeone,2959,"Via A.Carnevali, 174",Stimigliano,RI,02048,bartolomeo.galeone@gmail.it
Ottavio,Baglioni,3372,"Via R.Anselmi, 139",Raffadali,AG,92015,ottavio.baglioni@yahoo.it
Giacinta,Sardino,3465,"Via A.De Vincenti, 199",Meltina,BZ,39010,giacinta.sardino@katamail.it
Morgana,Lentulo,3542,"Via V.Civerchio, 94",Stradella,PV,27049,morgana.lentulo@gmail.it
Genoveffa,Menescardi,3605,"Piazzetta Legnone, 122",Argegno,CO,22010,g.menescardi@tin.it
Alcide,Ferrazzo,4019,"Largo Conte Rosso, 216",Altavilla Monferrato,AL,15041,alcide.ferrazzo@lycos.it
Loredana,Bacigaluppi,4271,"Via D.Guido, 196",Bossolasco,CN,12060,loredana.bacigaluppi@teletu.it
Letizia,Caligiuri,4360,"Via A.Arnaboldi, 77",Gorreto,GE,16020,letizia.caligiuri@aruba.it
Achille,Sangervasio,4879,"Passaggio Val Pantena, 216",Condrò,ME,98040,a.sangervasio@katamail.it
